"","coder","date","newsnm","rptmm","rptdd","rptyy","evmm","evdd","evyy","days","eventid","stories","title","followup","who","what","where","against","purpose","whysm","page","section","paragrph","staten","state1","state2","state3","state4","cityn","city1","city2","neighn","neighbr","particd","particex","partices","groups","igrp1c1","igrp1c2","igrp2c1","igrp2c2","igrp3c1","igrp3c2","targd","targnum","targ1","targ2","ertarg1","ertarg2","smonamed","smonum","smoname1","smoname2","smoname3","smoname4","claim1","val1","claim2","val2","claim3","val3","claim4","val4","form1","form2","form3","form4","act1","act2","act3","act4","viold","violtype","counterd","police1","police2","police3","police4","arrestd","arrestex","arrestes","propdam","dollars","injury","deaths","d_eventid","flag_followup","injprot","injprot_est","injby","injby_est","injpol","injpol_est","injoth","injoth_est","dthprot","dthprot_est","dthby","dthby_est","dthpol","dthpol_est","dthoth","dthoth_est","agenda_code"
"1","LEAH MILLER",2001-06-10,"NYT",1,5,1960,1,4,1960,1,6001003,1,"50% RISE IS URGED IN STATE SCHOOL AID",0,"THE CITIZENS UNION","PRESS CONFERENCE ASKING FOR 50% INCREAS IN STATE AID TO CITIES","NEW YORK CITY","STATE","AID FOR SCHOOLS, DAY CARE CENTERS, ELECTION REFORM","COLLECTIVE, CLAIMS MADE, PUBLIC",8,"1",6,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"THE CITIZENS UNION","","","",1338,3,1342,3,NA,NA,NA,NA,15,NA,NA,NA,34,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000
"2","LEAH MILLER",2001-06-10,"NYT",1,4,1960,1,3,1960,1,6001008,1,"POWELL SEES BIAS IN POLICY ARRESTS",0,"1000 PERSONS","RALLY WITH SPEECHES MADE BY SENATORS AND REPRESENTATIVES","ABYSSINIAN BAPTIST CHURCH IN HARLEM","STATE, POLICE","ANTI-POLICE HARRASSMENT AND TO PROMOTE CIVIL RIGHT OF AFRICAN AMERICANS","COLLECTIVE, CLAIMS MADE, PUBLIC",9,"1",16,1,"NY","","","",1,"NEW YORK","",1,"ABYSSINIAN BAPTIST CHURCH IN HARLEM",1,1000,NA,1,1000,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1518,1,1500,1,NA,NA,NA,NA,1,NA,NA,NA,27,NA,NA,NA,0,NA,0,1,0,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"3","LEAH MILLER",2001-06-10,"NYT",1,7,1960,1,6,1960,1,6001010,1,"CITY ACTION URGED TO COMBAT BIGOTS",0,"COMMISSION ON INTERGROUP RELATIONS","ISSUED A PRESS STATEMENT","NEW YORK CITY","ANTI-SEMITIC ATTITUDES","URGING SCHOOLS , POLICE, COURTS, CHURCHS AND PARENTS TO HELP CORRECT BIAS IN CITY","COLLECTIVE, CLAIMS MADE, PUBLIC",3,"1",17,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,1800,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,"COMMISSION ON INTERGROUP RELATIONS","","","",2503,2,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,34,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207
"4","LEAH MILLER",2001-06-10,"NYT",1,7,1960,1,6,1960,1,6001011,1,"CITY ACTION URGED TO COMBAT BIGOTS",0,"4 12 YEAR OLD BOYS","DESTROYED 80 WINDOWPANES  OF JEWISH CHURCH, WERE ARRESTED","RUSH TEMPLE AFRICAN METHODIST EPISCOPAL ZION CHURCH IN QUEENS","JEWISH","HATE CRIME--ANTI-SEMITISM","ETHNIC / RACIAL VIOLENCE",3,"1",1,1,"NY","","","",1,"NEW YORK","",1,"RUSH TEMPLE AFRICAN METHODIST EPISCOPAL CHURCH",1,4,NA,1,700,600,NA,NA,NA,NA,1,1,7,NA,432,NA,0,NA,"","","","",2503,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,62,NA,NA,NA,0,NA,0,1,1,0,0,0,4,NA,1,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207
"5","LEAH MILLER",2001-06-10,"NYT",1,14,1960,9,14,1960,120,6001027,1,"PARENTS CONVICTED",1,"GROUP OF PARENTS OF NEGRO CHILDREN","BOYCOTTING HARLEM SCHOOLS","HARLME, NY","SCHOOLS OF HARLEM","FELT SCHOOLS WERE INFERIOR AND SEGREGATED AND DISTRICT REFUSED TO SEND THEIR CHILDREN TO DIFFERENT SCHOOLS","COLLECTIVE, CLAIMS MADE, PUBLIC",12,"1",3,1,"NY","","","",1,"NEW YORK","",1,"HARLEM",0,NA,2,1,401,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,0,NA,"","","","",1501,1,1342,3,NA,NA,NA,NA,14,5,NA,NA,54,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"6","LEAH MILLER",2001-06-11,"NYT",1,21,1960,1,1,1960,1,6001040,1,"SWASTIKA DEFACES WALK NEAR TEMPLE",0,"2 YOUNG BOYS","STOOPED A SINK AND TURNED ON FAUCETS--CAUSED SEVERAL THOUSAND DOLLARS IN DAMAGE TO SYNAGOGUE","PARY AVENUE SYNAGOGUE IN NEW YORK CITY","JEWISH COMMUNITY","ANTI-SEMITISM","ETHNIC / RACIAL VIOLENCE",12,"1",5,1,"NY","","","",1,"NEW YORK","",1,"PARK AVENUE SYNAGOGUE",1,2,NA,1,700,NA,NA,NA,NA,NA,1,2,7,6,432,NA,0,NA,"","","","",2503,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,62,NA,NA,NA,0,NA,0,1,1,0,0,0,2,NA,1,6000,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207
"7","LEAH MILLER",2001-06-11,"NYT",1,21,1960,1,20,1960,1,6001041,1,"SWASTIKA DEFACES WALK NEAR TEMPLE",0,"UNKNOWN","FOOT-SQUARE SWASTIKA SCRAWLED ON SIDEWALK IN FRONT OF SYNAGOGUE","NEW YORK CITY","JEWISH COMMUNITY","ANTI-SEMITISM","ETHNIC / RACIAL VIOLENCE",12,"1",5,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,1,1,1800,NA,NA,NA,NA,NA,1,1,7,NA,432,NA,0,NA,"","","","",2503,1,NA,NA,NA,NA,NA,NA,10,5,NA,NA,33,NA,NA,NA,0,NA,0,1,1,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207
"8","LEAH MILLER",2001-06-11,"NYT",1,27,1960,1,26,1960,1,6001044,1,"NAZI TACTICS TRAP 3 IN UNION SQUARE",0,"MEMBERS OF AMERICAN JEWISH CONGRESS","HELD MEETING","MCBURNEY BRANCH OF THE YOUNG MENS CHRISTIAN ASSOCIATION","NO TARGET","AGAINST INCREASING INCIDENCE OF SWASTIKA PAINTING","COLLECTIVE, CLAIMS MADE, PUBLIC",27,"1",1,1,"NY","","","",1,"NEW YORK","",1,"MCBURNEY BRANCH OF THE YOUNG MENS CHRISTIAN ASS.",0,NA,2,1,1800,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,"AMERICAN JEWISH CONGRESS","","","",2503,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207
"9","LEAH MILLER",2001-06-11,"NYT",1,27,1960,1,26,1960,1,6001045,1,"NAZI TACTICS TRAP 3 IN UNION SQUARE",0,"3 YOUNG MEN","IN UNION SQUARE GAVE NAZI SALUTE PASSED OUT LITERATURE AND SPOKE VERBAL THREATS AND NAZI ALOGANS","UNION SQUARE IN NEW YORK","JEWISH COMMUNITY","ANTI-SEMITISM","ETHNIC / RACIAL VIOLENCE",27,"1",14,1,"NY","","","",1,"NEW YORK","",1,"UNION SQUARE",1,3,NA,1,600,NA,NA,NA,NA,NA,1,1,7,NA,432,NA,1,1,"NATIONAL RENAISSANCE PARTY","","","",2503,1,1400,3,NA,NA,NA,NA,5,9,10,NA,15,28,56,33,0,NA,0,1,1,0,0,0,3,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207
"10","LEAH MILLER",2001-06-11,"NYT",1,27,1960,1,26,1960,1,6001046,1,"NAZI TACTICS TRAP 3 IN UNION SQUARE",0,"COMMITTEE TO STOP REVIVAL OF NAZISM AND ANTI-SEMITISM","HELD RALLY, SOME PLACARDS--2500 PEOPLE","UNION SQUARE IN NEW YORK","THOSE WHO FOLLOW NAZISM AND CRIMES OF ANTI-SEMITISM","STOP ANTI-SEMITISM AND NAZISM","COLLECTIVE, CLAIMS MADE, PUBLIC",27,"1",14,1,"NY","","","",1,"NEW YORK","",1,"UNION SQUARE",1,2500,NA,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"COMMITTEE TO STOP REVIVAL OF NAZISM AND ANTI-SEMITISM","","","",2503,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,27,20,NA,NA,0,NA,0,1,0,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207
